시도,시군구,읍면동,리,행정구역코드,종말처리시설명,업소수(개)_총계,폐수발생량(㎥/일)_총계,폐수방류량(㎥/일)_총계,BOD발생부하량(kg/일)_총계,TN발생부하량(kg/일)_총계,TP발생부하량(kg/일)_총계,BOD배출부하량(kg/일)_총계,TN배출부하량(kg/일)_총계,TP배출부하량(kg/일)_총계,업소수(개)_종말처리장 연계,폐수발생량(㎥/일)_종말처리장 연계,폐수방류량(㎥/일)_종말처리장 연계,BOD발생부하량(kg/일)_종말처리장 연계,TN발생부하량(kg/일)_종말처리장 연계,TP발생부하량(kg/일)_종말처리장 연계,BOD배출부하량(kg/일)_종말처리장 연계,TN배출부하량(kg/일)_종말처리장 연계,TP배출부하량(kg/일)_종말처리장 연계,업소수(개)_직접 방류,폐수발생량(㎥/일)_직접 방류,폐수방류량(㎥/일)_직접 방류,BOD발생부하량(kg/일)_직접 방류,TN발생부하량(kg/일)_직접 방류,TP발생부하량(kg/일)_직접 방류,BOD배출부하량(kg/일)_직접 방류,TN배출부하량(kg/일)_직접 방류,TP배출부하량(kg/일)_직접 방류,업소수(개)__위탁 처리,폐수발생량(㎥/일)__위탁 처리,폐수방류량(㎥/일)_위탁 처리,BOD발생부하량(kg/일)_위탁 처리,TN발생부하량(kg/일)_위탁 처리,TP발생부하량(kg/일)_위탁 처리,BOD배출부하량(kg/일)_위탁 처리,TN배출부하량(kg/일)_위탁 처리,TP배출부하량(kg/일)_위탁 처리
서울특별시,종로구,효제동,,1111016200,,1,7,0,2.1,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2.1,0.06,0.02,0,0,0
서울특별시,종로구,종로5가,,1111016300,중랑물재생센터,14,98,98,29.4,1.25,0.25,1.63,0.2,0.07,14,98,98,29.4,1.25,0.25,1.63,0.2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,종로6가,,1111016400,중랑물재생센터,10,70,70,21,0.64,0.22,0.44,0.14,0.03,10,70,70,21,0.64,0.22,0.44,0.14,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,연건동,,1111016600,중랑물재생센터,5,206.5,206.5,20.86,2.51,0.81,1.88,0.62,0.08,5,206.5,206.5,20.86,2.51,0.81,1.88,0.62,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,연건동,,1111016600,,2,0.1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.02,0,0,0,0,0
서울특별시,종로구,충신동,,1111016700,중랑물재생센터,4,28,28,8.4,0.25,0.08,0.43,0.06,0,4,28,28,8.4,0.25,0.08,0.43,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,동숭동,,1111016800,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,종로구,명륜1가,,1111017000,중랑물재생센터,1,2,2,0.15,0.01,0.01,0.01,0,0,1,2,2,0.15,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,명륜1가,,1111017000,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,종로구,창신동,,1111017400,중랑물재생센터,1,7,7,2.1,0.07,0.03,0.04,0.01,0,1,7,7,2.1,0.07,0.03,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,창신동,,1111017400,,4,0.1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.02,0,0,0,0,0
서울특별시,종로구,평동,,1111017700,난지물재생센터,2,48,48,4.85,0.59,0.2,0.24,0.14,0.02,2,48,48,4.85,0.59,0.2,0.24,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,평창동,,1111018300,난지물재생센터,4,34,34,2.62,0.22,0.25,0.57,0.14,0.01,4,34,34,2.62,0.22,0.25,0.57,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,평창동,,1111018300,,1,0.2,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.14,0,0,0,0,0
서울특별시,종로구,부암동,,1111018400,난지물재생센터,2,47,47,3.62,0.52,0.24,1.06,0.47,0.01,2,47,47,3.62,0.52,0.24,1.06,0.47,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,홍지동,,1111018500,중랑물재생센터,1,10,10,0.77,0.06,0.05,0.34,0.02,0,1,10,10,0.77,0.06,0.05,0.34,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,홍지동,,1111018500,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,종로구,무악동,,1111018700,난지물재생센터,1,9.7,9.7,0.98,0.09,0.02,0.17,0.02,0,1,9.7,9.7,0.98,0.09,0.02,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,무악동,,1111018700,,1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0
서울특별시,중구,태평로1가,,1114010300,중랑물재생센터,1,6,6,1.92,0.24,0.06,0.06,0.02,0,1,6,6,1.92,0.24,0.06,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,을지로1가,,1114010400,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,중구,을지로2가,,1114010500,,4,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.01,0,0,0,0,0
서울특별시,중구,수표동,,1114011000,,2,0.1,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.02,0.01,0,0,0,0
