시도,시군구,읍면동,리,행정구역코드,총계(개소),골프장,금은판매점의 세공시설,농축수산물단순가공시설,사진처리 또는 X-Ray 시설,안경점,운수장비정비시설(폐차장포함)
서울특별시,중구,충무로2가,,1114012500,4,0,1,0,3,0,0
서울특별시,중구,충무로3가,,1114015800,2,0,0,0,2,0,0
서울특별시,중구,태평로2가,,1114011400,2,0,2,0,0,0,0
서울특별시,중구,필동1가,,1114013700,1,0,0,0,1,0,0
서울특별시,중구,필동2가,,1114013800,2,0,0,0,2,0,0
서울특별시,중구,필동3가,,1114013900,2,0,0,0,2,0,0
서울특별시,중구,황학동,,1114016500,5,0,0,0,5,0,0
서울특별시,중구,회현동1가,,1114012100,2,0,2,0,0,0,0
서울특별시,중구,회현동3가,,1114012300,1,0,0,0,1,0,0
서울특별시,중구,흥인동,,1114016300,2,0,0,0,2,0,0
서울특별시,용산구,갈월동,,1117010400,3,0,0,0,3,0,0
서울특별시,용산구,남영동,,1117010500,1,0,0,0,1,0,0
서울특별시,용산구,동자동,,1117010700,2,0,0,0,2,0,0
서울특별시,용산구,문배동,,1117012200,1,0,0,0,1,0,0
서울특별시,용산구,보광동,,1117013600,5,0,0,0,5,0,0
서울특별시,용산구,산천동,,1117011500,3,0,0,0,3,0,0
서울특별시,용산구,서계동,,1117010800,1,0,0,0,1,0,0
서울특별시,용산구,용산동2가,,1117010200,2,0,0,0,2,0,0
서울특별시,용산구,용산동6가,,1117013500,1,0,0,0,1,0,0
서울특별시,용산구,원효로1가,,1117011200,4,0,0,0,4,0,0
서울특별시,용산구,원효로2가,,1117011300,8,0,0,0,8,0,0
서울특별시,용산구,원효로4가,,1117011800,1,0,0,0,0,0,1
서울특별시,용산구,이촌동,,1117012900,8,0,0,0,8,0,0
서울특별시,용산구,이태원동,,1117013000,10,0,0,0,10,0,0
서울특별시,용산구,청파동2가,,1117011000,2,0,0,0,2,0,0
서울특별시,용산구,청파동3가,,1117011100,2,0,0,0,1,0,1
서울특별시,용산구,한강로2가,,1117012500,3,0,0,0,2,0,1
서울특별시,용산구,한강로3가,,1117012800,10,0,0,0,10,0,0
서울특별시,용산구,한남동,,1117013100,9,0,0,0,8,0,1
서울특별시,용산구,효창동,,1117011900,4,0,0,0,4,0,0
서울특별시,용산구,후암동,,1117010100,6,0,0,0,6,0,0
서울특별시,성동구,금호동1가,,1120010900,5,0,0,0,5,0,0
서울특별시,성동구,금호동2가,,1120011000,2,0,0,0,2,0,0
서울특별시,성동구,금호동3가,,1120011100,5,0,0,0,4,0,1
