연번,승인번호,통계조사명,통계분야,통계작성기관,통계작성기관성격,서비스 시계열,통계 작성주기,계속여부,자료제공방법,자료제공처,비고
37,10137,전국사업체조사,기업경영,통계청,중앙행정기관,1994~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
38,10170,전문·과학·기술서비스업조사,서비스,통계청,중앙행정기관,2007~2009/2011~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,2010년은 경제총조사에서 조사
39,10102,주택총조사,주택,통계청,중앙행정기관,1960/1966/1970~2010,５년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,인구총조사항목에서 검색 가능
40,10167,지역별고용조사,고용,통계청,중앙행정기관,2008~2015,반기,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,인력실태조사 승계함
41,11805,직종별사업체노동력조사,고용,고용노동부,중앙행정기관,2014~2015,반기,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
42,92011,사교육의식조사,교육,교육부,중앙행정기관,2013,1년,중지통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,초·중·고사교육비조사로 통합 조사
43,11631,주거실태조사,주택,국토교통부,중앙행정기관,2012/2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
44,11317,관광사업체기초통계조사,문화,문화체육관광부,중앙행정기관,2010~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
45,11302,문화예술인실태조사,문화,문화체육관광부,중앙행정기관,2006~2012,3년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,2015년부터 예술인실태조사로 발표됨
46,11321,스포츠산업실태조사,기업경영,문화체육관광부,중앙행정기관,2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
47,31402,외래관광객실태조사,문화,문화체육관광부,중앙행정기관,2011~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
